353;2;Komorowski Bronisław Maria;66
353;1;Duda Andrzej Sebastian;37
354;2;Komorowski Bronisław Maria;143
354;1;Duda Andrzej Sebastian;134
355;2;Komorowski Bronisław Maria;89
355;1;Duda Andrzej Sebastian;72
1595;2;Komorowski Bronisław Maria;559
1595;1;Duda Andrzej Sebastian;358
1596;2;Komorowski Bronisław Maria;641
1596;1;Duda Andrzej Sebastian;446
1597;2;Komorowski Bronisław Maria;443
1597;1;Duda Andrzej Sebastian;327
1598;2;Komorowski Bronisław Maria;499
1598;1;Duda Andrzej Sebastian;394
1599;2;Komorowski Bronisław Maria;538
1599;1;Duda Andrzej Sebastian;401
1600;2;Komorowski Bronisław Maria;334
1600;1;Duda Andrzej Sebastian;278
1601;2;Komorowski Bronisław Maria;121
1601;1;Duda Andrzej Sebastian;342
1602;2;Komorowski Bronisław Maria;679
1602;1;Duda Andrzej Sebastian;567
1603;2;Komorowski Bronisław Maria;463
1603;1;Duda Andrzej Sebastian;388
1604;2;Komorowski Bronisław Maria;420
1604;1;Duda Andrzej Sebastian;384
1605;2;Komorowski Bronisław Maria;521
1605;1;Duda Andrzej Sebastian;432
1606;2;Komorowski Bronisław Maria;548
1606;1;Duda Andrzej Sebastian;386
1607;2;Komorowski Bronisław Maria;600
1607;1;Duda Andrzej Sebastian;469
1608;2;Komorowski Bronisław Maria;665
1608;1;Duda Andrzej Sebastian;499
1609;2;Komorowski Bronisław Maria;423
1609;1;Duda Andrzej Sebastian;285
1610;2;Komorowski Bronisław Maria;501
1610;1;Duda Andrzej Sebastian;432
1611;2;Komorowski Bronisław Maria;602
1611;1;Duda Andrzej Sebastian;445
1612;2;Komorowski Bronisław Maria;477
1612;1;Duda Andrzej Sebastian;427
1613;2;Komorowski Bronisław Maria;432
1613;1;Duda Andrzej Sebastian;401
1614;2;Komorowski Bronisław Maria;568
1614;1;Duda Andrzej Sebastian;524
1615;2;Komorowski Bronisław Maria;600
1615;1;Duda Andrzej Sebastian;549
1616;2;Komorowski Bronisław Maria;700
1616;1;Duda Andrzej Sebastian;433
1617;2;Komorowski Bronisław Maria;423
1617;1;Duda Andrzej Sebastian;341
1618;2;Komorowski Bronisław Maria;788
1618;1;Duda Andrzej Sebastian;521
1619;2;Komorowski Bronisław Maria;785
1619;1;Duda Andrzej Sebastian;456
1620;2;Komorowski Bronisław Maria;532
1620;1;Duda Andrzej Sebastian;371
1621;2;Komorowski Bronisław Maria;851
1621;1;Duda Andrzej Sebastian;416
1622;2;Komorowski Bronisław Maria;517
1622;1;Duda Andrzej Sebastian;417
1623;2;Komorowski Bronisław Maria;627
1623;1;Duda Andrzej Sebastian;434
1624;2;Komorowski Bronisław Maria;685
1624;1;Duda Andrzej Sebastian;578
1625;2;Komorowski Bronisław Maria;664
1625;1;Duda Andrzej Sebastian;540
1626;2;Komorowski Bronisław Maria;839
1626;1;Duda Andrzej Sebastian;339
1627;2;Komorowski Bronisław Maria;1083
1627;1;Duda Andrzej Sebastian;404
1628;2;Komorowski Bronisław Maria;308
1628;1;Duda Andrzej Sebastian;300
1629;2;Komorowski Bronisław Maria;361
1629;1;Duda Andrzej Sebastian;320
1630;2;Komorowski Bronisław Maria;493
1630;1;Duda Andrzej Sebastian;400
1631;2;Komorowski Bronisław Maria;535
1631;1;Duda Andrzej Sebastian;442
1632;2;Komorowski Bronisław Maria;561
1632;1;Duda Andrzej Sebastian;491
1633;2;Komorowski Bronisław Maria;303
1633;1;Duda Andrzej Sebastian;300
1634;2;Komorowski Bronisław Maria;382
1634;1;Duda Andrzej Sebastian;402
1635;2;Komorowski Bronisław Maria;349
1635;1;Duda Andrzej Sebastian;367
1636;2;Komorowski Bronisław Maria;555
1636;1;Duda Andrzej Sebastian;407
1637;2;Komorowski Bronisław Maria;564
1637;1;Duda Andrzej Sebastian;530
1638;2;Komorowski Bronisław Maria;482
1638;1;Duda Andrzej Sebastian;447
1639;2;Komorowski Bronisław Maria;486
1639;1;Duda Andrzej Sebastian;416
1640;2;Komorowski Bronisław Maria;698
1640;1;Duda Andrzej Sebastian;468
1641;2;Komorowski Bronisław Maria;431
1641;1;Duda Andrzej Sebastian;322
1642;2;Komorowski Bronisław Maria;395
1642;1;Duda Andrzej Sebastian;326
1643;2;Komorowski Bronisław Maria;334
1643;1;Duda Andrzej Sebastian;282
1644;2;Komorowski Bronisław Maria;522
1644;1;Duda Andrzej Sebastian;504
1645;2;Komorowski Bronisław Maria;632
1645;1;Duda Andrzej Sebastian;528
1646;2;Komorowski Bronisław Maria;575
1646;1;Duda Andrzej Sebastian;426
1647;2;Komorowski Bronisław Maria;564
1647;1;Duda Andrzej Sebastian;360
1648;2;Komorowski Bronisław Maria;689
1648;1;Duda Andrzej Sebastian;449
1649;2;Komorowski Bronisław Maria;644
1649;1;Duda Andrzej Sebastian;466
1650;2;Komorowski Bronisław Maria;648
1650;1;Duda Andrzej Sebastian;390
1651;2;Komorowski Bronisław Maria;593
1651;1;Duda Andrzej Sebastian;417
1652;2;Komorowski Bronisław Maria;437
1652;1;Duda Andrzej Sebastian;333
1653;2;Komorowski Bronisław Maria;268
1653;1;Duda Andrzej Sebastian;251
1654;2;Komorowski Bronisław Maria;516
1654;1;Duda Andrzej Sebastian;483
1655;2;Komorowski Bronisław Maria;612
1655;1;Duda Andrzej Sebastian;482
1656;2;Komorowski Bronisław Maria;583
1656;1;Duda Andrzej Sebastian;498
1657;2;Komorowski Bronisław Maria;583
1657;1;Duda Andrzej Sebastian;468
1658;2;Komorowski Bronisław Maria;691
1658;1;Duda Andrzej Sebastian;439
